"X","PurchaseOrder","PurchaseOrderCreationDate","VendorKey","PlantKey","MaterialKey","MaterialPlantKey","PurchaseOrderQuantity","PlannedGoodsReceiptDate","ActualGoodsReceiptDate","PlannedArrivalDateYard","ActualArrivalDateYard","PlannedVendorShipmentDate","ActualVendorShipmentDate","GoodsDateDifference"
330,4500000330,"2022-08-29",1001,4,1,10004,71,2022-09-21,2022-09-21,"2022-09-19","2022-09-19","2022-09-18","2022-09-18",0
332,4500000332,"2022-04-02",1001,4,1,10004,79,2022-04-25,2022-04-25,"2022-04-23","2022-04-23","2022-04-22","2022-04-22",0
335,4500000335,"2024-10-19",1001,4,1,10004,77,2024-11-11,2024-11-07,"2024-11-09","2024-11-09","2024-11-08","2024-11-08",-4
336,4500000336,"2024-05-08",1001,4,1,10004,71,2024-05-31,2024-05-31,"2024-05-29","2024-05-29","2024-05-28","2024-05-28",0
337,4500000337,"2024-06-25",1001,4,1,10004,69,2024-07-18,2024-07-18,"2024-07-16","2024-07-16","2024-07-15","2024-07-15",0
338,4500000338,"2023-02-14",1001,4,1,10004,81,2023-03-09,2023-03-07,"2023-03-07","2023-03-07","2023-03-06","2023-03-06",-2
340,4500000340,"2022-05-22",1001,4,1,10004,78,2022-06-14,2022-06-17,"2022-06-12","2022-06-15","2022-06-11","2022-06-14",3
342,4500000342,"2024-08-22",1001,4,1,10004,77,2024-09-14,2024-09-12,"2024-09-12","2024-09-12","2024-09-11","2024-09-11",-2
343,4500000343,"2022-10-29",1001,4,1,10004,70,2022-11-21,2022-11-22,"2022-11-19","2022-11-20","2022-11-18","2022-11-19",1
346,4500000346,"2024-07-07",1001,4,1,10004,76,2024-07-30,2024-07-26,"2024-07-28","2024-07-28","2024-07-27","2024-07-27",-4
349,4500000349,"2021-12-14",1001,4,1,10004,85,2022-01-06,2022-01-05,"2022-01-04","2022-01-04","2022-01-03","2022-01-03",-1
353,4500000353,"2024-06-15",1001,4,1,10004,82,2024-07-08,2024-07-03,"2024-07-06","2024-07-06","2024-07-05","2024-07-05",-5
358,4500000358,"2024-01-06",1001,4,1,10004,82,2024-01-29,2024-01-26,"2024-01-27","2024-01-27","2024-01-26","2024-01-26",-3
362,4500000362,"2023-10-20",1001,4,1,10004,79,2023-11-12,2023-11-08,"2023-11-10","2023-11-10","2023-11-09","2023-11-09",-4
365,4500000365,"2021-12-23",1001,4,1,10004,80,2022-01-15,2022-01-13,"2022-01-13","2022-01-13","2022-01-12","2022-01-12",-2
366,4500000366,"2024-04-02",1001,4,1,10004,74,2024-04-25,2024-04-22,"2024-04-23","2024-04-23","2024-04-22","2024-04-22",-3
374,4500000374,"2023-11-06",1001,4,1,10004,70,2023-11-29,2023-11-24,"2023-11-27","2023-11-27","2023-11-26","2023-11-26",-5
376,4500000376,"2024-10-01",1001,4,1,10004,73,2024-10-24,2024-10-21,"2024-10-22","2024-10-22","2024-10-21","2024-10-21",-3
384,4500000384,"2022-02-13",1001,4,1,10004,76,2022-03-08,2022-03-04,"2022-03-06","2022-03-06","2022-03-05","2022-03-05",-4
387,4500000387,"2022-12-09",1001,4,1,10004,78,2023-01-01,2023-01-09,"2022-12-30","2023-01-07","2022-12-29","2023-01-06",8
390,4500000390,"2024-08-08",1001,4,1,10004,80,2024-08-31,2024-08-30,"2024-08-29","2024-08-29","2024-08-28","2024-08-28",-1
391,4500000391,"2023-04-08",1001,4,1,10004,82,2023-05-01,2023-05-01,"2023-04-29","2023-04-29","2023-04-28","2023-04-28",0
395,4500000395,"2023-03-19",1001,4,1,10004,77,2023-04-11,2023-04-07,"2023-04-09","2023-04-09","2023-04-08","2023-04-08",-4
396,4500000396,"2023-06-27",1001,4,1,10004,77,2023-07-20,2023-07-18,"2023-07-18","2023-07-18","2023-07-17","2023-07-17",-2
400,4500000400,"2024-08-29",1001,4,1,10004,76,2024-09-21,2024-09-21,"2024-09-19","2024-09-19","2024-09-18","2024-09-18",0
404,4500000404,"2022-03-13",1001,4,1,10004,75,2022-04-05,2022-04-01,"2022-04-03","2022-04-03","2022-04-02","2022-04-02",-4
406,4500000406,"2024-09-26",1001,4,1,10004,75,2024-10-19,2024-10-18,"2024-10-17","2024-10-17","2024-10-16","2024-10-16",-1
407,4500000407,"2023-01-09",1001,4,1,10004,79,2023-02-01,2023-01-27,"2023-01-30","2023-01-30","2023-01-29","2023-01-29",-5
408,4500000408,"2023-02-27",1001,4,1,10004,83,2023-03-22,2023-03-20,"2023-03-20","2023-03-20","2023-03-19","2023-03-19",-2
410,4500000410,"2022-02-02",1001,4,1,10004,82,2022-02-25,2022-02-24,"2022-02-23","2022-02-23","2022-02-22","2022-02-22",-1
411,4500000411,"2022-05-18",1001,4,1,10004,77,2022-06-10,2022-06-08,"2022-06-08","2022-06-08","2022-06-07","2022-06-07",-2
418,4500000418,"2023-02-09",1001,4,1,10004,78,2023-03-04,2023-03-15,"2023-03-02","2023-03-02","2023-03-01","2023-03-01",11
421,4500000421,"2024-01-15",1001,4,1,10004,88,2024-02-07,2024-02-02,"2024-02-05","2024-02-05","2024-02-04","2024-02-04",-5
423,4500000423,"2023-12-27",1001,4,1,10004,74,2024-01-19,2024-02-01,"2024-01-17","2024-01-17","2024-01-16","2024-01-16",13
424,4500000424,"2024-03-14",1001,4,1,10004,79,2024-04-06,2024-04-04,"2024-04-04","2024-04-04","2024-04-03","2024-04-03",-2
427,4500000427,"2022-05-30",1001,4,1,10004,84,2022-06-22,2022-06-20,"2022-06-20","2022-06-20","2022-06-19","2022-06-19",-2
429,4500000429,"2023-04-06",1001,4,1,10004,70,2023-04-29,2023-04-26,"2023-04-27","2023-04-27","2023-04-26","2023-04-26",-3
430,4500000430,"2023-12-24",1001,4,1,10004,79,2024-01-16,2024-01-16,"2024-01-14","2024-01-14","2024-01-13","2024-01-13",0
431,4500000431,"2024-10-30",1001,4,1,10004,85,2024-11-22,2024-11-21,"2024-11-20","2024-11-20","2024-11-19","2024-11-19",-1
436,4500000436,"2023-11-07",1001,4,1,10004,72,2023-11-30,2023-11-30,"2023-11-28","2023-11-28","2023-11-27","2023-11-27",0
441,4500000441,"2024-04-01",1001,4,1,10004,85,2024-04-24,2024-05-01,"2024-04-22","2024-04-29","2024-04-21","2024-04-28",7
442,4500000442,"2022-02-16",1001,4,1,10004,72,2022-03-11,2022-03-08,"2022-03-09","2022-03-09","2022-03-08","2022-03-08",-3
443,4500000443,"2024-01-16",1001,4,1,10004,70,2024-02-08,2024-02-07,"2024-02-06","2024-02-06","2024-02-05","2024-02-05",-1
447,4500000447,"2024-07-09",1001,4,1,10004,88,2024-08-01,2024-07-31,"2024-07-30","2024-07-30","2024-07-29","2024-07-29",-1
449,4500000449,"2023-10-07",1001,4,1,10004,71,2023-10-30,2023-10-25,"2023-10-28","2023-10-28","2023-10-27","2023-10-27",-5
451,4500000451,"2024-04-10",1001,4,1,10004,75,2024-05-03,2024-05-02,"2024-05-01","2024-05-01","2024-04-30","2024-04-30",-1
456,4500000456,"2022-01-25",1001,4,1,10004,71,2022-02-17,2022-02-15,"2022-02-15","2022-02-15","2022-02-14","2022-02-14",-2
459,4500000459,"2024-06-12",1001,4,1,10004,80,2024-07-05,2024-07-03,"2024-07-03","2024-07-03","2024-07-02","2024-07-02",-2
464,4500000464,"2024-03-17",1001,4,1,10004,76,2024-04-09,2024-04-08,"2024-04-07","2024-04-07","2024-04-06","2024-04-06",-1
466,4500000466,"2024-02-20",1001,4,1,10004,85,2024-03-14,2024-03-13,"2024-03-12","2024-03-12","2024-03-11","2024-03-11",-1
470,4500000470,"2022-02-19",1001,4,1,10004,82,2022-03-14,2022-03-11,"2022-03-12","2022-03-12","2022-03-11","2022-03-11",-3
471,4500000471,"2022-09-29",1001,4,1,10004,81,2022-10-22,2022-10-22,"2022-10-20","2022-10-20","2022-10-19","2022-10-19",0
474,4500000474,"2023-06-27",1001,4,1,10004,85,2023-07-20,2023-07-19,"2023-07-18","2023-07-18","2023-07-17","2023-07-17",-1
484,4500000484,"2021-12-26",1001,4,1,10004,78,2022-01-18,2022-01-17,"2022-01-16","2022-01-16","2022-01-15","2022-01-15",-1
485,4500000485,"2024-09-19",1001,4,1,10004,70,2024-10-12,2024-10-22,"2024-10-10","2024-10-20","2024-10-09","2024-10-19",10
486,4500000486,"2022-05-12",1001,4,1,10004,75,2022-06-04,2022-06-03,"2022-06-02","2022-06-02","2022-06-01","2022-06-01",-1
487,4500000487,"2023-08-05",1001,4,1,10004,91,2023-08-28,2023-08-24,"2023-08-26","2023-08-26","2023-08-25","2023-08-25",-4
491,4500000491,"2024-01-07",1001,4,1,10004,89,2024-01-30,2024-01-26,"2024-01-28","2024-01-28","2024-01-27","2024-01-27",-4
498,4500000498,"2024-05-31",1001,4,1,10004,71,2024-06-23,2024-06-23,"2024-06-21","2024-06-21","2024-06-20","2024-06-20",0
503,4500000503,"2024-05-31",1001,4,1,10004,78,2024-06-23,2024-06-23,"2024-06-21","2024-06-21","2024-06-20","2024-06-20",0
504,4500000504,"2023-10-02",1001,4,1,10004,79,2023-10-25,2023-10-20,"2023-10-23","2023-10-23","2023-10-22","2023-10-22",-5
507,4500000507,"2023-10-17",1001,4,1,10004,61,2023-11-09,2023-11-07,"2023-11-07","2023-11-07","2023-11-06","2023-11-06",-2
508,4500000508,"2022-06-07",1001,4,1,10004,83,2022-06-30,2022-06-29,"2022-06-28","2022-06-28","2022-06-27","2022-06-27",-1
512,4500000512,"2023-09-17",1001,4,1,10004,82,2023-10-10,2023-10-11,"2023-10-08","2023-10-09","2023-10-07","2023-10-08",1
515,4500000515,"2022-09-28",1001,4,1,10004,85,2022-10-21,2022-10-18,"2022-10-19","2022-10-19","2022-10-18","2022-10-18",-3
519,4500000519,"2022-07-22",1001,4,1,10004,79,2022-08-14,2022-08-10,"2022-08-12","2022-08-12","2022-08-11","2022-08-11",-4
523,4500000523,"2021-12-18",1001,4,1,10004,74,2022-01-10,2022-01-21,"2022-01-08","2022-01-19","2022-01-07","2022-01-18",11
524,4500000524,"2023-02-22",1001,4,1,10004,70,2023-03-17,2023-03-17,"2023-03-15","2023-03-15","2023-03-14","2023-03-14",0
527,4500000527,"2024-08-19",1001,4,1,10004,72,2024-09-11,2024-09-17,"2024-09-09","2024-09-15","2024-09-08","2024-09-14",6
528,4500000528,"2023-01-11",1001,4,1,10004,67,2023-02-03,2023-02-01,"2023-02-01","2023-02-01","2023-01-31","2023-01-31",-2
531,4500000531,"2024-02-07",1001,4,1,10004,74,2024-03-01,2024-02-29,"2024-02-28","2024-02-28","2024-02-27","2024-02-27",-1
532,4500000532,"2022-04-05",1001,4,1,10004,77,2022-04-28,2022-04-25,"2022-04-26","2022-04-26","2022-04-25","2022-04-25",-3
537,4500000537,"2024-06-12",1001,4,1,10004,80,2024-07-05,2024-07-03,"2024-07-03","2024-07-03","2024-07-02","2024-07-02",-2
541,4500000541,"2024-09-25",1001,4,1,10004,78,2024-10-18,2024-10-15,"2024-10-16","2024-10-16","2024-10-15","2024-10-15",-3
544,4500000544,"2023-01-30",1001,4,1,10004,78,2023-02-22,2023-02-17,"2023-02-20","2023-02-20","2023-02-19","2023-02-19",-5
546,4500000546,"2022-03-06",1001,4,1,10004,80,2022-03-29,2022-03-28,"2022-03-27","2022-03-27","2022-03-26","2022-03-26",-1
553,4500000553,"2022-03-08",1001,4,1,10004,70,2022-03-31,2022-03-30,"2022-03-29","2022-03-29","2022-03-28","2022-03-28",-1
554,4500000554,"2024-09-21",1001,4,1,10004,72,2024-10-14,2024-10-18,"2024-10-12","2024-10-16","2024-10-11","2024-10-15",4
559,4500000559,"2022-09-14",1001,4,1,10004,80,2022-10-07,2022-10-05,"2022-10-05","2022-10-05","2022-10-04","2022-10-04",-2
560,4500000560,"2022-10-01",1001,4,1,10004,70,2022-10-24,2022-10-24,"2022-10-22","2022-10-22","2022-10-21","2022-10-21",0
563,4500000563,"2022-03-28",1001,4,1,10004,81,2022-04-20,2022-04-18,"2022-04-18","2022-04-18","2022-04-17","2022-04-17",-2
